id,name
1,ABV-IIITM Gwalior
2,"Assam University, Silchar"
3,"BIT, Deoghar Off-Campus"
4,"BIT, Mesra, Ranchi"
5,"BIT, Patna Off-Campus"
6,CU Jharkhand
7,Central University of Haryana
8,Central University of Jammu
9,"Central University of Rajasthan, Rajasthan"
10,"Central institute of Technology Kokrajar, Assam"
11,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)"
12,"Dr.BRAMNIT, Jalandhar"
13,"Gati Shakti Vishwavidyalaya, Vadodara"
14,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal"
15,"Gurukula Kangri Vishwavidyalaya, Haridwar"
16,IIIT (IIIT) Nagpur
17,IIIT (IIIT) Pune
18,IIIT (IIIT) Ranchi
19,"IIIT (IIIT), Sri City, Chittoor"
20,"IIIT (IIIT)Kota, Rajasthan"
21,IIIT Bhagalpur
22,IIIT Bhopal
23,"IIIT Design & Manufacturing Kurnool, Andhra Pradesh"
24,IIIT Guwahati
25,IIIT Lucknow
26,IIIT Manipur
27,IIIT Surat
28,IIIT Tiruchirappalli
29,IIIT(IIIT) Dharwad
30,"IIIT(IIIT) Kalyani, West Bengal"
31,"IIIT(IIIT) Kilohrad, Sonepat, Haryana"
32,IIIT(IIIT) Kottayam
33,"IIIT(IIIT) Una, Himachal Pradesh"
34,"IIIT(IIIT), Vadodara, Gujrat"
35,"IIIT, Agartala"
36,"IIIT, Allahabad"
37,"IIIT, Design & Manufacturing, Kancheepuram"
38,"IIIT, Vadodara International Campus Diu (IIITVICD)"
39,IIT (BHU) Varanasi
40,IIT (ISM) Dhanbad
41,IIT Bhilai
42,IIT Bhubaneswar
43,IIT Bombay
44,IIT Delhi
45,IIT Dharwad
46,IIT Gandhinagar
47,IIT Goa
48,IIT Guwahati
49,IIT Hyderabad
50,IIT Indore
51,IIT Jammu
52,IIT Jodhpur
53,IIT Kanpur
54,IIT Kharagpur
55,IIT Madras
56,IIT Mandi
57,IIT Palakkad
58,IIT Patna
59,IIT Roorkee
60,IIT Ropar
61,IIT Tirupati
62,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR
63,"Indian Institute of Carpet Technology, Bhadohi"
64,"Indian Institute of Engineering Science and Technology, Shibpur"
65,"Indian Institute of Handloom Technology(IIHT), Varanasi"
66,"Indian Institute of Handloom Technology, Salem"
67,"Indian institute of information technology, Raichur, Karnataka"
68,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar"
69,"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)"
70,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad"
71,"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)"
72,"IntIIIT, Bhubaneswar"
73,"IntIIIT, Naya Raipur"
74,Islamic University of Science and Technology Kashmir
75,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad"
76,"JNU, Delhi"
77,MANIT Bhopal
78,MNIT Jaipur
79,MNNIT Allahabad
80,"Mizoram University, Aizawl"
81,NIT Agartala
82,NIT Arunachal Pradesh
83,NIT Calicut
84,NIT Delhi
85,NIT Durgapur
86,NIT Goa
87,NIT Hamirpur
88,"NIT Karnataka, Surathkal"
89,NIT Meghalaya
90,NIT Nagaland
91,NIT Patna
92,NIT Puducherry
93,NIT Raipur
94,NIT Sikkim
95,"NIT, Andhra Pradesh"
96,"NIT, Jamshedpur"
97,"NIT, Kurukshetra"
98,"NIT, Manipur"
99,"NIT, Mizoram"
100,"NIT, Rourkela"
101,"NIT, Silchar"
102,"NIT, Srinagar"
103,"NIT, Tiruchirappalli"
104,"NIT, Uttarakhand"
105,"NIT, Warangal"
106,"National Institute of Advanced Manufacturing Technology, Ranchi"
107,"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)"
108,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)"
109,"National Institute of Electronics and Information Technology, Gorakhpur (UP)"
110,"National Institute of Electronics and Information Technology, Patna (Bihar)"
111,"National Institute of Electronics and Information Technology, Ropar (Punjab)"
112,"National Institute of Food Technology Entrepreneurship and Management, Kundli"
113,"National Institute of Food Technology Entrepreneurship and Management, Thanjavur"
114,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh"
115,"North-Eastern Hill University, Shillong"
116,"PEC, Chandigarh"
117,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur"
118,"Puducherry Technological University, Puducherry"
119,"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)"
120,"SVNIT, Surat"
121,Sant Longowal Institute of Engineering and Technology
122,"School of Engineering, Tezpur University, Napaam, Tezpur"
123,"School of Planning & Architecture, Bhopal"
124,"School of Planning & Architecture, New Delhi"
125,School of Planning & Architecture: Vijayawada
126,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur"
127,Shri G. S. Institute of Technology and Science Indore
128,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir"
129,UoH
130,"VNIT, Nagpur"
